,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2
289,Punjab,hoshiarpur,2007,kharif,Rice,56000,185000.0,3.303571429,157000.0,182000.0
290,Punjab,hoshiarpur,2008,kharif,Rice,60000,209000.0,3.483333333,185000.0,157000.0
291,Punjab,hoshiarpur,2009,kharif,Rice,70000,248000.0,3.542857143,209000.0,185000.0
292,Punjab,hoshiarpur,2010,kharif,Rice,73000,261000.0,3.575342466,248000.0,209000.0
295,Punjab,jalandhar,2004,kharif,Rice,145000,538000.0,3.710344828,465000.0,495000.0
296,Punjab,jalandhar,2005,kharif,Rice,151000,526000.0,3.483443709,538000.0,465000.0
297,Punjab,jalandhar,2006,kharif,Rice,147000,514000.0,3.496598639,526000.0,538000.0
298,Punjab,jalandhar,2007,kharif,Rice,149000,554000.0,3.718120805,514000.0,526000.0
299,Punjab,jalandhar,2008,kharif,Rice,155000,588000.0,3.793548387,554000.0,514000.0
300,Punjab,jalandhar,2009,kharif,Rice,161000,636000.0,3.950310559,588000.0,554000.0
301,Punjab,jalandhar,2010,kharif,Rice,163000,588000.0,3.607361963,636000.0,588000.0
304,Punjab,kapurthala,2004,kharif,Rice,105000,423000.0,4.028571429,361000.0,362000.0
305,Punjab,kapurthala,2005,kharif,Rice,108000,422000.0,3.907407407,423000.0,361000.0
306,Punjab,kapurthala,2006,kharif,Rice,110000,414000.0,3.763636364,422000.0,423000.0
307,Punjab,kapurthala,2007,kharif,Rice,110000,428000.0,3.890909091,414000.0,422000.0
308,Punjab,kapurthala,2008,kharif,Rice,114000,428000.0,3.754385965,428000.0,414000.0
309,Punjab,kapurthala,2009,kharif,Rice,115000,452000.0,3.930434783,428000.0,428000.0
310,Punjab,kapurthala,2010,kharif,Rice,118000,460000.0,3.898305085,452000.0,428000.0
313,Punjab,ludhiana,2004,kharif,Rice,400000,1144000.0,2.86,1047000.0,1020000.0
314,Punjab,ludhiana,2005,kharif,Rice,250000,1130000.0,4.52,1144000.0,1047000.0
315,Punjab,ludhiana,2006,kharif,Rice,248000,1084000.0,4.370967742,1130000.0,1144000.0
316,Punjab,ludhiana,2007,kharif,Rice,250000,1133000.0,4.532,1084000.0,1130000.0
317,Punjab,ludhiana,2008,kharif,Rice,254000,1135000.0,4.468503937,1133000.0,1084000.0
318,Punjab,ludhiana,2009,kharif,Rice,257000,1206000.0,4.692607004,1135000.0,1133000.0
319,Punjab,ludhiana,2010,kharif,Rice,257000,1133000.0,4.408560311,1206000.0,1135000.0
322,Punjab,patiala,2004,kharif,Rice,250000,965000.0,3.86,950000.0,818000.0
323,Punjab,patiala,2005,kharif,Rice,252000,996000.0,3.952380952,965000.0,950000.0
324,Punjab,patiala,2006,kharif,Rice,237000,989000.0,4.172995781,996000.0,965000.0
325,Punjab,patiala,2007,kharif,Rice,234000,999000.0,4.269230769,989000.0,996000.0
326,Punjab,patiala,2008,kharif,Rice,238000,1009000.0,4.239495798,999000.0,989000.0
327,Punjab,patiala,2009,kharif,Rice,240000,1021000.0,4.254166667,1009000.0,999000.0
328,Punjab,patiala,2010,kharif,Rice,234000,873000.0,3.730769231,1021000.0,1009000.0
331,Punjab,rupnagar,2004,kharif,Rice,51000,176000.0,3.450980392,170000.0,141000.0
332,Punjab,rupnagar,2005,kharif,Rice,53000,183000.0,3.452830189,176000.0,170000.0
333,Punjab,rupnagar,2006,kharif,Rice,38000,138000.0,3.631578947,183000.0,176000.0
334,Punjab,rupnagar,2007,kharif,Rice,33000,122000.0,3.696969697,138000.0,183000.0
335,Punjab,rupnagar,2008,kharif,Rice,36000,139000.0,3.861111111,122000.0,138000.0
336,Punjab,rupnagar,2009,kharif,Rice,38000,135000.0,3.552631579,139000.0,122000.0
337,Punjab,rupnagar,2010,kharif,Rice,38000,147000.0,3.868421053,135000.0,139000.0
340,Punjab,s.a.s nagar,2008,kharif,Rice,27000,88000.0,3.259259259,103000.0,82000.0
341,Punjab,s.a.s nagar,2009,kharif,Rice,30000,98000.0,3.266666667,88000.0,103000.0
342,Punjab,s.a.s nagar,2010,kharif,Rice,37000,127000.0,3.432432432,98000.0,88000.0
345,Punjab,sangrur,2004,kharif,Rice,367000,1710000.0,4.659400545,1566000.0,1429000.0
346,Punjab,sangrur,2005,kharif,Rice,367000,1625000.0,4.427792916,1710000.0,1566000.0
347,Punjab,sangrur,2006,kharif,Rice,362000,1637000.0,4.522099448,1625000.0,1710000.0
348,Punjab,sangrur,2007,kharif,Rice,262000,1207000.0,4.606870229,1637000.0,1625000.0
349,Punjab,sangrur,2008,kharif,Rice,267000,1233000.0,4.617977528,1207000.0,1637000.0
350,Punjab,sangrur,2009,kharif,Rice,271000,1273000.0,4.697416974,1233000.0,1207000.0
351,Punjab,sangrur,2010,kharif,Rice,272000,1185000.0,4.356617647,1273000.0,1233000.0
354,Punjab,tarn taran,2008,kharif,Rice,169000,525000.0,3.106508876,539000.0,514000.0
355,Punjab,tarn taran,2009,kharif,Rice,172000,530000.0,3.081395349,525000.0,539000.0
356,Punjab,tarn taran,2010,kharif,Rice,172000,500000.0,2.906976744,530000.0,525000.0
359,Rajasthan,ajmer,2004,kharif,Rice,18,27.0,1.5,43.0,2.0
360,Rajasthan,ajmer,2005,kharif,Rice,13,19.0,1.461538462,27.0,43.0
361,Rajasthan,ajmer,2006,kharif,Rice,15,24.0,1.6,19.0,27.0
362,Rajasthan,ajmer,2007,kharif,Rice,6,12.0,2.0,24.0,19.0
363,Rajasthan,ajmer,2008,kharif,Rice,4,7.0,1.75,12.0,24.0
364,Rajasthan,ajmer,2009,kharif,Rice,7,11.0,1.571428571,7.0,12.0
365,Rajasthan,ajmer,2010,kharif,Rice,9,18.0,2.0,11.0,7.0
368,Rajasthan,alwar,2004,kharif,Rice,139,206.0,1.482014388,265.0,84.0
369,Rajasthan,alwar,2005,kharif,Rice,132,193.0,1.462121212,206.0,265.0
370,Rajasthan,alwar,2006,kharif,Rice,127,200.0,1.57480315,193.0,206.0
371,Rajasthan,alwar,2007,kharif,Rice,155,315.0,2.032258065,200.0,193.0
372,Rajasthan,alwar,2008,kharif,Rice,265,479.0,1.80754717,315.0,200.0
373,Rajasthan,alwar,2009,kharif,Rice,346,524.0,1.514450867,479.0,315.0
374,Rajasthan,alwar,2010,kharif,Rice,378,766.0,2.026455026,524.0,479.0
377,Rajasthan,banswara,2004,kharif,Rice,31966,21080.0,0.659450666,23750.0,8081.0
378,Rajasthan,banswara,2005,kharif,Rice,33179,21774.0,0.656258477,21080.0,23750.0
379,Rajasthan,banswara,2006,kharif,Rice,33252,18756.0,0.564056297,21774.0,21080.0
